year,country,passed_group_phase
2018,Australia,0
2018,Iran,0
2018,Japan,1
2018,Saudi Arabia,0
2018,South Korea,0
2018,Egypt,0
2018,Morocco,0
2018,Nigeria,0
2018,Senegal,0
2018,Tunisia,0
2018,Costa Rica,0
2018,Mexico,1
2018,Panama,0
2018,Argentina,1
2018,Brazil,1
2018,Colombia,1
2018,Peru,0
2018,Uruguay,1
2018,Belgium,1
2018,Croatia,1
2018,Denmark,1
2018,England,1
2018,France,1
2018,Germany,0
2018,Iceland,0
2018,Poland,0
2018,Portugal,1
2018,Russia,1
2018,Serbia,0
2018,Spain,1
2018,Sweden,1
2018,Switzerland,1
2014,Australia,0
2014,Iran,0
2014,Japan,0
2014,South Korea,0
2014,Algeria,1
2014,Cameroon,0
2014,Ghana,0
2014,Ivory Coast,0
2014,Nigeria,1
2014,Costa Rica,1
2014,Honduras,0
2014,Mexico,1
2014,USA,1
2014,Argentina,1
2014,Brazil,1
2014,Chile,1
2014,Colombia,1
2014,Ecuador,0
2014,Uruguay,1
2014,Belgium,1
2014,Bosnia & Herzegovina,0
2014,Croatia,0
2014,England,0
2014,France,1
2014,Germany,1
2014,Greece,1
2014,Italy,0
2014,Netherlands,1
2014,Portugal,0
2014,Russia,0
2014,Spain,0
2014,Switzerland,1
2010,Australia,0
2010,Japan,1
2010,North Korea,0
2010,South Korea,1
2010,Algeria,0
2010,Cameroon,0
2010,Ghana,1
2010,Ivory Coast,0
2010,Nigeria,0
2010,South Africa,0
2010,Honduras,0
2010,Mexico,1
2010,USA,1
2010,Argentina,1
2010,Brazil,1
2010,Chile,1
2010,Paraguay,1
2010,Uruguay,1
2010,New Zealand,0
2010,Denmark,0
2010,England,1
2010,France,0
2010,Germany,1
2010,Greece,0
2010,Italy,0
2010,Netherlands,1
2010,Portugal,1
2010,Serbia,0
2010,Slovakia,1
2010,Slovenia,0
2010,Spain,1
2010,Switzerland,0
2006,Iran,0
2006,Japan,0
2006,Saudi Arabia,0
2006,South Korea,0
2006,Angola,0
2006,Ghana,1
2006,Ivory Coast,0
2006,Togo,0
2006,Tunisia,0
2006,Costa Rica,0
2006,Mexico,1
2006,Trinidad & Tobago,0
2006,USA,0
2006,Argentina,1
2006,Brazil,1
2006,Ecuador,1
2006,Paraguay,0
2006,Australia,1
2006,Croatia,0
2006,Czech Republic,0
2006,England,1
2006,Germany,1
2006,Italy,1
2006,Netherlands,1
2006,Poland,0
2006,Portugal,1
2006,Serbia & Montenegro,0
2006,Spain,1
2006,Sweden,1
2006,Switzerland,1
2006,Ukraine,1
2006,France,1
2002,Cameroon,0
2002,Nigeria,0
2002,Senegal,1
2002,South Africa,0
2002,Tunisia,0
2002,China,0
2002,Japan,1
2002,South Korea,1
2002,Saudi Arabia,0
2002,Belgium,1
2002,Croatia,0
2002,Denmark,1
2002,England,1
2002,France,0
2002,Germany,1
2002,Italy,1
2002,Poland,0
2002,Portugal,0
2002,Ireland,1
2002,Russia,0
2002,Slovenia,0
2002,Spain,1
2002,Sweden,1
2002,Turkey,1
2002,Costa Rica,0
2002,Mexico,1
2002,USA,1
2002,Argentina,0
2002,Brazil,1
2002,Ecuador,0
2002,Paraguay,1
2002,Uruguay,0
